  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
PR-000195 O PR    RIO PIEDRAS      18 23 07.00N 066 06 19.00W BLDG               1 00250 00414 R 3 C M 0073_SJ00085OE C 1982104 
PR-000197 O PR    PONCE            18 00 26.45N 066 33 54.26W TOWER              1 00094 00114 R 1 A N 0081_SJ00012OE C 2014107 
PR-000199 O PR    SAN JUAN         18 27 50.00N 066 05 36.00W BLDG               1 00215 00245 R 1 A N                C 1993312 
PR-000200 O PR    SAN JUAN         18 27 14.00N 066 05 15.00W BLDG               1 00317 00328 R 1 A N                C 1993312 
PR-000201 O PR    SAN JUAN         18 27 18.00N 066 04 12.00W BLDG               1 00265 00283 R 1 A N                C 1993312 
PR-000203 O PR    GUAYAMA          18 06 40.00N 066 03 07.00W TOWER              1 00203 03108 N 2 D N 0081_SJ00034OE C 1990337 
PR-000204 O PR    MARICAO          18 08 51.62N 066 58 57.06W TOWER              1 00386 03336 M 2 C N 2017ASO24526OE C 2018124 
PR-000205 O PR    CERRO LA SANTA   18 06 41.00N 066 03 06.00W TOWER              1 00260 03146 N 2 D N 0082_SJ00102OE C 1992188 
PR-000208 O PR    BAYAMON          18 17 07.20N 066 10 46.90W TOWER              1 00307 02016 R 4 E P 2014ASO12429OE C 2018138 
PR-000209 O PR    CATANO           18 25 51.00N 066 08 10.00W TOWER              1 00310 00320 R 5 D M 0083_SJ00013OE A 1986209 
PR-000210 O PR    SAN JUAN         18 25 29.62N 066 03 26.15W BLDG               1 00224 00242 R 1 B N 1981ASO00074OE C 2015335 
PR-000211 O PR    RÃ?O GRANDE      18 18 28.19N 065 47 41.04W TOWER              1 00180 03478 R 2 C U 2021ASO08614OE C 2021256 
PR-000212 O PR    SAN JUAN         18 24 42.71N 066 05 37.89W TOWER              1 00188 00448 U 1 B P 2011ASO05844OE C 2018065 
PR-000214 O PR    LAJAS            18 02 04.00N 067 04 57.00W TOWER              2 00303 00407 R 5 E M 0086_SJ00008OE A 1986133 
PR-000215 O PR    CAGUAS           18 16 07.00N 066 04 11.00W TOWER              1 00220 01532 R 5 E M 0084_SJ00057OE A 1987040 
PR-000216 O PR    SALINAS          17 58 09.00N 066 11 58.00W TOWER              1 00330 00353 R 3 D M 2002ASO06762OE C 2003181 
PR-000217 U PR    CEIBA            18 14 07.00N 065 38 35.00W TOWER              1 00053 00287 U 4 D U 0085_SJ00010OE C 2014124 
PR-000219 O PR    SAN JUAN         18 25 56.00N 066 03 34.00W BLDG               1 00219 00226 R 2 C N 1999ASO05404OE C 2000171 
PR-000222 U PR    CAROLINA         18 26 29.00N 066 00 53.00W BLDG               1 00075 00082 R 4 D N 1985ASO00002OE C 2014124 
PR-000223 O PR    PONCE            18 01 07.04N 066 33 51.81W STACK              1 00212 00297 N 1 A N                C 2014107 
PR-000224 O PR    PONCE            17 59 46.00N 066 32 23.83W STACK              1 00184 00210 U 1 A N                C 2014122 
PR-000225 O PR    AGUADILLA        18 26 29.00N 067 08 48.00W TOWER              1 00293 00868 D 2 C N 2000ASO00152OE C 2000080 
PR-000226 O PR    SAN JUAN         18 25 28.00N 065 59 18.00W BLDG               1 00165 00172 R 1 A N                C 1994241 
PR-000227 O PR    PONCE            18 01 33.00N 066 39 13.00W TOWER              1 00298 00626 R 5 E N 0082_SJ00046OE C 1990218 
PR-000228 O PR    SAN JUAN         18 26 42.31N 066 03 59.71W BLDG               1 00241 00301 U 1 A N 2014ASO00127OE C 2018103 
PR-000229 O PR    CABO ROJO        18 05 58.00N 067 09 16.00W TOWER              1 00326 00371 R 5 D M 0085_SJ00071OE A 1986342 
PR-000230 O PR    SAN JUAN         18 26 42.00N 066 01 00.00W BLDG               1 00194 00202 R 1 A N                C 2001274 
PR-000231 O PR    SAN JUAN         18 24 14.00N 066 01 53.00W BLDG               1 00193 00256 R 1 A N                C 2001267 
PR-000232 U PR    NAGUABO          18 13 58.00N 065 40 03.00W T-L TWR            1 00062 00137 U 4 D U 1986ASO00107OE C 2014124 
PR-000233 O PR    AGUAS BUENAS     18 16 23.00N 066 06 50.00W TOWER              1 00359 01868 R 5 E M 0085_SJ00061OE C 2006162 
PR-000234 O PR    TRES HERMANOS    18 19 18.00N 067 10 26.00W TOWER              1 00331 01448 R 5 E M 0086_SJ00116OE A 1988102 
PR-000236 O PR    PONCE            18 01 39.00N 066 38 08.00W TOWER              1 00405 00960 R 4 D M 0085_SJ00063OE C 2023123 
PR-000237 O PR    CEIBA            18 13 08.00N 065 39 20.00W TOWER              1 00030 00194 R 5 E M 0086_SJ00068OE A 1987201 
PR-000238 O PR    SAN JUAN         18 26 57.00N 066 02 14.00W BLDG               1 00241 00246 R 1 A N 0086_SJ00077OE C 2001267 
PR-000239 O PR    EL MANGO         18 16 40.00N 065 51 13.00W TOWER              1 00272 02699 N 5 E M 0086_SJ00118OE C 1994304 
PR-000240 O PR    VEGA ALTA        18 24 34.97N 066 19 38.99W TOWER              1 00185 00414 R 2 C P 2010ASO06896OE C 2018031 
PR-000242 O PR    PENUELAS         18 04 43.00N 066 44 53.00W TOWER              1 00233 02251 R 5 E M 0086_SJ00002OE A 1987208 
PR-000243 O PR    SAN GERMAN       18 04 01.35N 067 01 13.12W TOWER              1 00264 01001 R 2 C P 2011ASO05715OE C 2018030 
