  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
56-021509 O US WY DIXON            41 02 17.94N 107 27 47.77W T-L TWR            1 00025 06685 U 1 A U                A 2013260 
56-021428 O US WY DIXON            41 02 18.51N 107 29 29.52W FENCE              1 00003 06524 U 1 A U                A 2013260 
56-021417 O US WY DIXON            41 02 18.60N 107 29 06.21W FENCE              1 00010 06543 U 1 A U                A 2013260 
56-021414 O US WY DIXON            41 02 19.15N 107 28 57.61W FENCE              1 00012 06549 U 1 A U                A 2013260 
56-021427 O US WY DIXON            41 02 19.52N 107 29 27.22W FENCE              1 00007 06531 U 1 A U                A 2013260 
56-021476 O US WY DIXON            41 02 20.02N 107 29 00.75W POLE               1 00019 06554 U 1 A U                A 2013260 
56-021426 O US WY DIXON            41 02 20.41N 107 29 23.81W FENCE              1 00007 06533 U 1 A U                A 2013260 
56-021413 O US WY DIXON            41 02 21.03N 107 28 56.93W FENCE              1 00011 06551 U 1 A U                A 2013260 
56-052793 O US WY CHEYENNE         41 02 21.04N 105 11 12.86W WINDMILL           1 00499 07944 W 4 D W 2020WTW01790OE C 2022047 
56-021424 O US WY DIXON            41 02 21.58N 107 29 19.29W FENCE              1 00011 06540 U 1 A U                A 2013260 
56-021418 O US WY DIXON            41 02 22.87N 107 29 14.40W FENCE              1 00011 06541 U 1 A U                A 2013260 
56-021505 O US WY DIXON            41 02 23.05N 107 27 47.10W POLE               1 00031 06702 U 1 A U                A 2013260 
56-021416 O US WY DIXON            41 02 24.44N 107 29 08.38W FENCE              1 00011 06544 U 1 A U                A 2013260 
56-062150 O US WY CHEYENNE         41 02 24.98N 104 57 48.02W WINDMILL           1 00499 07042 W 4 D W 2018WTW15874OE C 2023229 
56-062155 O US WY CHEYENNE         41 02 25.35N 105 00 13.15W WINDMILL           1 00499 07176 W 4 D W 2018WTW15881OE C 2023265 
56-021415 O US WY DIXON            41 02 25.75N 107 29 03.33W FENCE              1 00009 06544 U 1 A U                A 2013260 
56-021464 O US WY DIXON            41 02 25.92N 107 28 38.17W FENCE              1 00004 06574 U 1 A U                A 2013260 
56-021463 O US WY DIXON            41 02 25.94N 107 28 45.45W FENCE              1 00004 06566 U 1 A U                A 2013260 
56-052777 O US WY CHEYENNE         41 02 26.15N 105 10 36.60W WINDMILL           1 00499 07868 W 4 D W 2020WTW01798OE C 2022048 
56-021462 O US WY DIXON            41 02 26.20N 107 28 45.58W FENCE              1 00005 06567 U 1 A U                A 2013260 
56-021465 O US WY DIXON            41 02 26.47N 107 28 38.22W FENCE              1 00006 06577 U 1 A U                A 2013260 
56-021466 O US WY DIXON            41 02 26.91N 107 28 37.70W FENCE              1 00008 06579 U 1 A U                A 2013260 
56-021461 O US WY DIXON            41 02 27.07N 107 28 45.98W FENCE              1 00003 06566 U 1 A U                A 2013260 
56-021412 O US WY DIXON            41 02 27.50N 107 28 56.56W FENCE              1 00011 06557 U 1 A U                A 2013260 
56-021460 O US WY DIXON            41 02 27.75N 107 28 46.30W FENCE              1 00003 06566 U 1 A U                A 2013260 
56-021459 O US WY DIXON            41 02 28.18N 107 28 46.50W FENCE              1 00004 06566 U 1 A U                A 2013260 
56-021467 O US WY DIXON            41 02 28.40N 107 27 44.85W FENCE              1 00006 06698 U 1 A U                A 2013260 
56-021411 O US WY DIXON            41 02 28.44N 107 28 53.12W FENCE              1 00013 06566 U 1 A U                A 2013260 
56-021410 O US WY DIXON            41 02 28.83N 107 28 51.56W FENCE              1 00010 06566 U 1 A U                A 2013260 
56-021469 O US WY DIXON            41 02 28.90N 107 27 43.09W FENCE              1 00005 06705 U 1 A U                A 2013260 
56-021468 O US WY DIXON            41 02 28.94N 107 27 44.05W FENCE              1 00006 06701 U 1 A U                A 2013260 
56-021409 O US WY DIXON            41 02 29.07N 107 28 50.65W FENCE              1 00012 06570 U 1 A U                A 2013260 
56-062260 O US WY CHEYENNE         41 02 29.20N 105 00 57.51W WINDMILL           1 00499 07220 W 4 D W 2022WTW06833OE A 2023270 
56-021408 O US WY DIXON            41 02 29.47N 107 28 49.27W FENCE              1 00005 06565 U 1 A U                A 2013260 
56-021458 O US WY DIXON            41 02 29.66N 107 28 48.50W FENCE              1 00009 06570 U 1 A U                A 2013260 
56-000191 O US WY HARRIMAN         41 02 34.00N 105 12 24.00W TOWER              1 00308 07796 D 5 E N 1989ANM00166OE C 2014152 
56-052776 O US WY CHEYENNE         41 02 37.30N 105 10 10.67W WINDMILL           1 00499 07785 W 4 D W 2020WTW01812OE C 2022049 
56-062262 O US WY CHEYENNE         41 02 38.12N 105 00 06.79W WINDMILL           1 00499 07140 W 4 D W 2022WTW06843OE A 2023263 
56-052423 O US WY CHEYENNE         41 02 39.75N 105 08 23.27W WINDMILL           1 00499 07690 W 4 D W 2020WTW01836OE C 2021344 
56-052429 O US WY CHEYENNE         41 02 39.80N 105 07 43.38W WINDMILL           1 00499 07678 W 4 D W 2020WTW01842OE C 2021344 
56-052775 O US WY CHEYENNE         41 02 40.23N 105 11 04.83W WINDMILL           1 00499 07887 W 4 D W 2020WTW01789OE C 2022047 
56-052790 O US WY CHEYENNE         41 02 45.49N 105 02 32.83W WINDMILL           1 00499 07312 W 4 D W 2020WTW01865OE C 2022062 
56-062149 U US WY CHEYENNE         41 02 45.51N 104 59 40.27W WINDMILL           1 00499 07170 W 4 D W 2018WTW15872OE A 2023037 
56-021507 O US WY DIXON            41 02 50.40N 107 26 30.84W T-L TWR            1 00029 06901 U 1 A U                A 2013260 
56-052414 O US WY CHEYENNE         41 02 51.55N 105 08 54.16W WINDMILL           1 00499 07762 W 4 D W 2020WTW01826OE C 2021344 
56-062148 O US WY CHEYENNE         41 02 52.11N 105 00 24.73W WINDMILL           1 00499 07170 W 4 D W 2018WTW15871OE C 2023215 
56-021470 O US WY DIXON            41 02 52.12N 107 26 51.08W BLDG               1 00023 06996 U 1 A U                A 2013260 
56-052694 O US WY CHEYENNE         41 02 53.81N 105 10 35.26W WINDMILL           1 00499 07945 W 4 D W 2020WTW01797OE C 2022048 
56-000031 O US WY CHEYENNE         41 02 53.94N 104 53 30.89W TOWER              1 00209 06612 M 3 C N 2009ANM02039OE C 2013318 
56-021506 O US WY DIXON            41 02 54.52N 107 26 49.78W T-L TWR            1 00019 07000 U 1 B U                A 2013260 
56-052784 O US WY CHEYENNE         41 02 54.55N 105 01 53.07W WINDMILL           1 00499 07307 W 4 D W 2020WTW01914OE C 2022062 
56-000329 O US WY CHEYENNE         41 02 56.52N 104 53 24.54W TOWER              1 00322 06708 D 1 A N 2010ANM02414OE C 2013163 
56-062147 O US WY CHEYENNE         41 02 56.54N 105 01 05.64W WINDMILL           1 00499 07196 W 4 D W 2018WTW15870OE C 2023215 
56-052422 O US WY CHEYENNE         41 02 56.63N 105 08 01.43W WINDMILL           1 00499 07690 W 4 D W 2020WTW01835OE C 2021348 
56-052428 O US WY CHEYENNE         41 02 58.51N 105 07 21.38W WINDMILL           1 00499 07649 W 4 D W 2020WTW01841OE C 2021344 
56-000227 O US WY CHEYENNE         41 03 00.53N 104 53 33.47W TOWER              1 00635 07002 S 3 D N 2009ANM01391OE C 2013135 
56-052427 O US WY CHEYENNE         41 03 05.12N 105 06 49.12W WINDMILL           1 00499 07623 W 4 D W 2020WTW01840OE C 2021344 
56-052413 O US WY CHEYENNE         41 03 05.33N 105 08 49.19W WINDMILL           1 00499 07745 W 4 D W 2020WTW01825OE C 2021344 
56-021472 O US WY DIXON            41 03 05.52N 107 26 30.13W BLDG               1 00005 06978 U 1 A U                A 2013260 
56-052492 O US WY CHEYENNE         41 03 08.25N 105 02 47.33W WINDMILL           1 00499 07348 W 4 D W 2020WTW01864OE C 2021344 
56-062250 O US WY CHEYENNE         41 03 08.68N 104 49 56.45W TOWER              1 00285 06520 R 4 D P 1997ANM01073OE A 2023223 
56-000077 O US WY CHEYENNE         41 03 08.93N 104 49 54.88W TOWER              1 00288 06524 R 4 D P 1997ANM00589OE C 2023222 
56-062251 O US WY CHEYENNE         41 03 10.44N 104 49 59.13W TOWER              1 00285 06525 R 4 D P 1997ANM01074OE A 2023223 
56-062252 O US WY CHEYENNE         41 03 12.22N 104 50 02.04W TOWER              1 00287 06517 R 4 D P 1997ANM01075OE A 2023223 
