  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-002826 O US MO KANSAS CITY      39 09 55.52N 094 34 34.10W TOWER              1 00128 01035 D 2 C N 2004ACE01168OE C 2005016 
29-051567 U US MO KANSAS CITY      39 09 55.73N 094 35 41.46W BLDG               1 00073 00939 N 4 D N 2016ACE01440OE A 2018025 
29-023331 O US MO MEXICO           39 09 56.23N 091 49 25.11W TANK               1 00131 00951 U 2 C U                A 2014060 
29-001275 O US MO CENTRALIA        39 10 00.00N 092 10 01.00W TOWER              1 00421 01281 R 5 D M 1985ACE00235OE C 2014138 
29-000051 O US MO MEXICO           39 10 00.00N 091 51 44.00W TOWER              1 00203 00957 R 4 D M 2000ACE02165OE C 2001127 
29-024904 O US MO MEXICO           39 10 00.95N 091 52 27.07W TOWER              1 00199 00959 N 2 C N 2015ACE01322OE A 2015296 
29-077046 U US MO KANSAS CITY      39 10 02.53N 094 33 10.41W POLE               1 00035 00862 N 4 D N 2019ACE06484OE A 2021161 
29-020563 O US MO RIVERSIDE        39 10 02.99N 094 37 22.03W TOWER              1 00270 01025 D 2 C N 2010ACE00381OE A 2012036 
29-001534 O US MO STURGEON         39 10 05.00N 092 19 45.37W TOWER              1 00311 01137 M 1 A N 2003ACE02270OE C 2004312 
29-001938 O US MO SIBLEY           39 10 05.46N 094 12 00.78W TOWER              1 00190 01035 N 2 C N 2011ACE02029OE C 2012191 
29-004070 O US MO NORTH KANSAS CIT 39 10 06.11N 094 33 34.43W TOWER              1 00154 01061 D 1 A N 2016ACE00039OE C 2016340 
29-001227 O US MO SIBLEY           39 10 06.80N 094 09 46.29W TOWER              1 00343 01166 D 4 D N 2017ACE01378OE C 2017296 
29-073916 U US MO PLATTE           39 10 07.00N 094 37 19.20W TOWER              1 00080 00830 N 4 D N 2020ACE01063OE A 2020135 
29-083718 O US MO MEXICO           39 10 07.03N 091 53 16.08W TOWER              1 00138 00929 N 1 A N 2021ACE04423OE A 2023297 
29-023333 O US MO MEXICO           39 10 10.54N 091 52 48.87W BLDG               1 00188 00980 U 2 C U                A 2014060 
29-002686 O US MO MEXICO           39 10 11.00N 091 49 09.00W TOWER              1 00120 00932 N 5 D N 2001ACE02211OE C 2003215 
29-002171 O US MO MARTINSBURG      39 10 13.86N 091 38 54.72W TOWER              1 00260 01049 D 5 D N 2005ACE01110OE C 2006036 
29-024969 O US MO MEXICO           39 10 16.51N 091 54 28.42W TOWER              1 00199 00992 N 2 C N 2015ACE03728OE A 2016071 
29-001997 U US MO KANSAS CITY      39 10 17.00N 094 29 15.00W BLDG               1 00205 01129 R 4 D N 1997ACE01099OE C 2014124 
29-083414 U US MO KANSAS CITY      39 10 17.01N 094 32 55.83W TOWER              1 00128 00998 N 4 D N 2021ACE11999OE A 2023293 
29-081734 O US MO LEXINGTON        39 10 21.09N 093 51 34.78W TOWER              1 00294 01091 D 1 A N 2020ACE02454OE A 2022237 
29-000388 O US MO FAYETTE          39 10 23.00N 092 41 43.00W TOWER              1 00343 01134 R 3 C M 1996ACE01253OE C 2014138 
29-025062 O US MO SIBLEY           39 10 24.00N 094 09 38.00W T-L TWR            1 00225 00992 C 5 D N 2015ACE00600OE A 2016229 
29-054089 O US MO OAKS             39 10 31.64N 094 33 43.04W TOWER              1 00123 01029 N 1 A N 2018ACE04127OE C 2018235 
29-001098 O US MO ELSBERRY         39 10 32.00N 090 47 27.00W TOWER              1 00250 00730 R 5 E M 1999ACE01283OE C 2014138 
29-002390 O US MO LEXINGTON        39 10 32.60N 093 46 54.20W TOWER              1 00288 01097 D 2 B N 2009ACE00538OE C 2012313 
29-004019 U US MO LEXINGTON        39 10 33.87N 093 51 38.27W TOWER              1 00255 01081 D 4 D N 2005ACE02945OE C 2014124 
29-002902 O US MO GLADSTONE        39 10 35.00N 094 35 38.00W TOWER              1 00158 01073 N 5 D N 2015ACE03491OE C 2015296 
29-000546 O US MO LEXINGTON        39 10 36.00N 093 51 45.00W TOWER              1 00310 01150 R 3 C M 1972ACE00163OE C 2014138 
29-002962 O US MO VANDIVER         39 10 36.08N 091 47 42.54W TOWER              1 00167 00969 N 2 C N 2003ACE01861OE C 2014060 
29-023328 O US MO MEXICO           39 10 40.42N 091 45 21.70W BLDG               1 00081 00877 U 1 A U                A 2014060 
29-001733 O US MO FAYETTE          39 10 40.50N 092 41 54.80W TOWER              1 00419 01208 D 4 D N 2018ACE08310OE C 2019007 
29-000319 O US MO SIBLEY           39 10 43.00N 094 11 03.00W STACK              1 00700 01425 R 1 D N 1966ACE00478OE C 2014138 
29-025063 O US MO SIBLEY           39 10 43.00N 094 09 26.00W T-L TWR            1 00270 00980 C 5 D N 2015ACE00601OE A 2016229 
29-021159 O US MO KANSAS CITY      39 10 47.13N 094 29 23.53W TOWER              1 00152 01105 N 2 C N 2010ACE00275OE A 2013211 
29-001081 O US MO ATHERTON         39 10 55.00N 094 19 52.00W T-L TWR            1 00261 00976 R 4 D M                C 2014138 
29-004020 O US MO LEXINGTON        39 10 58.44N 093 43 43.92W TOWER              1 00350 01140 D 5 D N 2005ACE02733OE C 2006295 
29-000236 O US MO SIBLEY           39 11 00.00N 094 11 01.00W T-L TWR            1 00154 00923 U 9 I U                C 2014138 
29-000484 O US MO NORTON           39 11 00.00N 093 08 05.00W TOWER              1 00200 01020 N 5 D M 0000_CE06852OE C 2014138 
29-002235 O US MO KANSAS CITY      39 11 01.00N 094 29 53.00W TOWER              1 00372 01346 D 1 A N 2001ACE02304OE C 2003132 
29-001806 O US MO LIBERTY          39 11 07.00N 094 27 31.00W TOWER              2 00199 00941 N 5 D N 1995ACE00502OE C 2014138 
29-000362 O US MO ATHERTON         39 11 08.00N 094 20 15.00W T-L TWR            1 00254 00974 M 4 D N 0067_KC00130OE C 2014138 
29-023332 O US MO MEXICO           39 11 09.47N 091 47 35.44W BLDG               1 00036 00838 U 2 C U                A 2014060 
29-023329 O US MO MEXICO           39 11 10.92N 091 45 34.50W BLDG               1 00079 00873 U 1 A U                A 2014060 
29-000102 O US MO LEXINGTON        39 11 11.70N 093 50 04.20W TOWER              1 00485 01307 R 5 D P 2012ACE03691OE C 2014120 
29-000623 O US MO MEXICO           39 11 12.50N 091 56 15.92W TOWER              1 00220 01028 D 4 D N 2020ACE01482OE C 2020224 
29-020904 O US MO KANSAS CITY      39 11 15.41N 094 32 40.20W TOWER              1 00126 01045 N 1 A N 2012ACE00164OE A 2012318 
29-050609 U US MO LEXINGTON        39 11 16.90N 093 51 06.13W TANK               1 00175 01030 N 4 D N 2013ACE03570OE A 2018030 
29-000787 U US MO LEXINGTON        39 11 25.00N 093 52 44.00W TANK               1 00160 01040 U     N                A 1988256 
29-000624 O US MO MEXICO           39 11 28.00N 091 52 02.00W TOWER              1 00268 01055 R 4 D M 1994ACE00343OE C 2014138 
29-001448 O US MO PARKVILLE        39 11 34.00N 094 38 13.00W TOWER              1 00306 01252 R 5 D M 1986ACE00191OE C 2014138 
29-021150 O US MO KANSAS CITY      39 11 34.57N 094 30 54.04W POLE               1 00108 00989 N 1 A N 2011ACE03004OE A 2013211 
29-000079 O US MO DOVER            39 11 35.00N 093 37 28.00W TOWER              1 00246 01143 M 1 D N 2003ACE00428OE C 2003222 
29-001179 O US MO MEXICO           39 11 40.00N 091 56 27.00W TOWER              1 01035 01857 R 5 D M 1996ACE01431OE C 2014138 
29-024905 O US MO THOMPSON         39 11 40.83N 092 00 08.89W TOWER              1 00255 01099 D 2 C N 2016ACE00659OE C 2016084 
29-076993 O US MO DOVER            39 11 41.24N 093 44 21.42W TOWER              1 00353 01149 D 1 A N 2020ACE02554OE A 2021139 
29-000535 O US MO PARKVILLE        39 11 43.00N 094 39 52.00W TOWER              1 00222 01255 R 5 D P 2012ACE01270OE C 2012313 
29-003008 O US MO MALTA BEND       39 11 46.44N 093 23 20.89W TOWER              1 00350 01050 D 5 D N 2005ACE02070OE C 2008120 
29-000301 O US MO MEXICO           39 11 57.04N 091 55 23.01W TOWER              1 00261 01073 D 1 D N 2017ACE02043OE C 2018291 
29-021072 O US MO KANSAS CITY      39 11 57.73N 094 29 44.76W TOWER              1 00160 00948 N 1 A N 2010ACE02323OE A 2013120 
29-002112 O US MO WHITESIDE        39 12 07.00N 091 00 40.00W TOWER              1 00309 01090 D 2 C N 2003ACE01203OE C 2003229 
29-020065 O US MO GLADSTONE        39 12 09.56N 094 33 43.04W TOWER              1 00123 01050 N 1 A N 2008ACE01447OE C 2008255 
29-075381 O US MO WAVERLY          39 12 18.01N 093 30 47.32W TOWER              1 00264 01073 D 1 A N 2020ACE00121OE A 2020268 
29-003053 O US MO WAVERLY          39 12 18.20N 093 30 39.00W TOWER              1 00260 01075 D 5 D N 2005ACE01632OE C 2006127 
29-001935 O US MO PARKVILLE        39 12 26.00N 094 41 23.85W TOWER              1 00225 01185 D 5 D N 2007ACE00167OE C 2007315 
29-020670 O US MO CENTRALIA        39 12 30.10N 092 05 47.70W TOWER              1 00318 01171 D 2 C N 2010ACE00188OE A 2012059 
29-000390 O US MO SLATER           39 12 31.00N 093 04 34.00W TOWER              1 00303 01143 R 3 C M 1996ACE01256OE C 2014138 
29-054008 O US MO SLATER           39 12 31.04N 093 04 06.44W TOWER              1 00254 01100 D 4 D N 2015ACE01342OE A 2018068 
29-000788 U US MO WAVERLY          39 12 35.00N 093 30 57.00W TANK               1 00150 00980 U     N                A 1988250 
29-021157 O US MO OAKVIEW          39 12 38.30N 094 34 32.25W TOWER              1 00136 01119 N 2 C N 2009ACE01182OE A 2013211 
29-023054 O US MO PARKVILLE        39 12 43.72N 094 41 17.32W POLE               1 00153 01074 N 5 D N 2011ACE02231OE A 2014052 
29-000999 O US MO CENTRALIA        39 12 49.00N 092 08 55.00W TOWER              1 00200 01070 R 3 C M 1996ACE01264OE C 2014138 
29-002179 O US MO WAKENDA          39 13 00.00N 093 28 30.00W TOWER              1 00419 01230 D 5 D N 2000ACE02419OE C 2001120 
29-020791 O US MO GLASGOW          39 13 01.34N 092 50 12.64W TOWER              1 00199 00941 N 2 C N 2008ACE01223OE A 2012236 
29-000797 O US MO GLADSTONE        39 13 03.00N 094 32 03.00W TANK               1 00180 01172 R 1 D M                C 2014138 
29-000234 O US MO GLADSTONE        39 13 04.13N 094 33 56.84W TOWER              1 00306 01340 R 2 C P 2014ACE04993OE C 2015183 
29-024749 O US MO SLATER           39 13 05.70N 093 03 32.80W TOWER              1 00128 00984 N 5 D N 2014ACE00496OE A 2014147 
29-020512 O US MO KANSAS CITY      39 13 13.32N 094 30 05.36W BLDG               1 00156 01029 N 5 D N 2011ACE01244OE A 2011263 
29-001755 O US MO KANSAS CITY      39 13 14.00N 094 33 51.00W TOWER              1 00032 01037 N 5 D N 1995ACE00019OE C 2014138 
29-002263 O US MO CENTRALIA        39 13 18.90N 092 09 20.40W TOWER              1 00415 01282 R 4 D P 2022ACE00659OE C 2022208 
29-024883 O US MO LIBERTY          39 13 19.38N 094 25 33.46W TOWER              1 00060 00891 N 5 D N 2015ACE02821OE A 2015230 
29-001891 O US MO WEATHERBY LAKE   39 13 23.66N 094 46 10.90W TOWER              1 00249 01188 D 2 C N 2011ACE00001OE C 2012184 
29-000091 O US MO KANSAS CITY      39 13 25.51N 094 34 31.03W TANK               1 00152 01174 N 1 D N                C 2005275 
29-001627 O US MO PLATTE           39 13 29.00N 094 46 09.64W TOWER              1 00236 01185 D 4 D N 2019ACE07381OE C 2021340 
29-002058 O US MO SLATER           39 13 30.00N 093 02 45.00W TOWER              1 00350 01180 R 5 D M 1998ACE00861OE C 2014138 
29-021103 O US MO LAKE WASUKOMIS   39 13 33.05N 094 36 23.00W TOWER              1 00175 01149 N 5 D N 2013ACE00590OE A 2013161 
29-024786 O US MO MIAMI            39 13 33.37N 093 17 40.17W TOWER              1 00265 00958 D 2 C N 2012ACE03884OE A 2014240 
29-024828 O US MO EOLIA            39 13 35.53N 091 00 39.12W TOWER              1 00199 01007 N 2 C N 2014ACE01856OE A 2015005 
29-000658 O US MO GILLIAM          39 13 40.00N 093 01 02.00W TOWER              1 00350 01171 R 5 D M 1975ACE00339OE C 2014138 
29-076268 O US MO SLATER           39 13 45.02N 093 03 33.40W TOWER              1 00310 01140 D 4 D N 2019ACE04490OE A 2021048 
29-002490 O US MO GILLIAM          39 13 51.00N 093 00 13.00W TOWER              1 00214 01016 D 5 D N 2001ACE00824OE A 2001267 
29-000861 O US MO MISSOURI CITY    39 13 53.00N 094 18 29.00W STACK              1 00300 01029 R 3 C M 1979ACE00352OE C 2014138 
29-001000 O US MO GLASGOW          39 13 54.00N 092 50 02.00W TOWER              1 00383 01114 R 3 C M 1997ACE01633OE C 2001274 
29-021181 O US MO WEATHERBY LAKE   39 13 55.00N 094 44 04.00W TOWER              1 00159 01127 N 5 D N 2013ACE02058OE A 2013252 
29-000045 O US MO KANSAS CITY      39 14 00.00N 094 39 22.00W TANK               1 00146 01186 U 9 I U                C 2014138 
29-084229 O US MO VANDALIA         39 14 04.35N 091 35 37.87W MET                1 00344 01117 D 4 D N 2022WTE06084OE A 2023108 
29-062232 O US MO GLASGOW          39 14 07.27N 092 49 43.47W TOWER              1 00304 01048 D 1 A N 2018ACE04952OE A 2019276 
29-000082 O US MO MISSOURI CITY    39 14 10.00N 094 18 22.00W TOWER              1 00260 01134 M 3 C N 1998ACE00988OE C 2014138 
29-020899 O US MO KANSAS CITY      39 14 14.34N 094 36 17.68W TOWER              1 00105 01127 N 1 A N 2011ACE01294OE A 2012314 
29-006081 U US MO LIBERTY          39 14 18.00N 094 24 00.00W TOWER              1 00164 01032 U     U                A 1976043 
29-000360 O US MO GLASGOW          39 14 27.85N 092 47 18.16W TOWER              1 00405 01209 R 4 D P 2009ACE01965OE C 2013197 
29-001625 O US MO KANSAS CITY      39 14 35.53N 094 36 00.99W TOWER              1 00220 01200 D 1 A N 2017ACE01376OE C 2017306 
29-001718 O US MO KANSAS CITY      39 14 36.80N 094 39 42.30W TOWER              1 00155 01187 N 2 C N 2011ACE02300OE C 2012190 
29-021130 O US MO EOLIA            39 14 40.20N 091 01 28.50W TOWER              1 00119 00963 N 5 E N 2012ACE01264OE A 2013198 
29-001717 O US MO KANSAS CITY      39 14 41.00N 094 35 32.00W TOWER              1 00262 01234 M 5 D N 1994ACE00595OE C 2014138 
29-002388 O US MO MEXICO           39 14 43.52N 091 50 21.91W TOWER              1 00410 01192 D 1 A N 2012ACE02372OE C 2012292 
29-021122 O US MO KANSAS CITY      39 14 44.52N 094 43 46.33W POLE               1 00105 01070 N 1 A N 2011ACE02304OE A 2013198 
29-006082 U US MO LIBERTY          39 14 52.00N 094 24 48.00W TOWER              1 00056 01031 N     N                A 1988277 
29-085034 U US MO KANSAS CITY      39 14 59.20N 094 39 45.60W POLE               1 00035 01075 N 4 D N 2023ACE00296OE A 2023114 
29-001595 O US MO LIBERTY          39 15 11.39N 094 27 19.53W TOWER              1 00309 01295 M 1 A N 2011ACE02704OE C 2012181 
29-081230 O US MO KANSAS CITY      39 15 12.14N 094 42 34.75W TOWER              1 00143 01119 N 1 A N 2021ACE02328OE A 2022089 
29-001176 O US MO ORRICK           39 15 16.00N 094 07 58.00W TOWER              1 00224 01194 D 2 C N 2003ACE01797OE C 2003292 
29-025107 O US MO RICHMOND         39 15 19.26N 093 58 26.63W TOWER              1 00310 01065 D 1 A N 2016ACE00118OE A 2016278 
29-001333 O US MO LIBERTY          39 15 27.65N 094 27 10.27W TOWER              1 00284 01264 M 4 D N 2019ACE04578OE C 2019224 
29-000825 O US MO RICHMOND         39 15 32.10N 093 58 16.00W TOWER              1 00340 01127 M 4 D N 2022ACE02718OE C 2023073 
29-073735 O US MO RICHMOND         39 15 32.29N 093 58 16.00W TOWER              1 00257 01042 D 4 D N 2021ACE05448OE C 2021321 
29-002956 O US MO EOLIA            39 15 35.57N 091 01 42.13W TOWER              1 00315 01195 D 4 D N 2022ACE09433OE C 2023160 
29-021204 O US MO KANSAS CITY      39 15 39.19N 094 39 59.58W POLE               1 00165 01218 N 2 C N 2013ACE00396OE A 2013298 
29-002688 O US MO BOWLING GREEN    39 15 45.00N 091 04 10.00W TOWER              1 00500 01322 R 5 E M 2002ACE00366OE C 2003229 
29-075417 O US MO ARMSTRONG        39 15 46.27N 092 41 58.90W TOWER              1 00340 01196 D 1 A N 2019ACE01881OE A 2020287 
29-002111 O US MO CENTRALIA        39 15 49.25N 092 07 58.37W TOWER              1 01204 02050 H 4 D N 2021ACE07974OE C 2022273 
29-006102 U US MO LIBERTY          39 15 50.00N 094 26 31.00W TOWER              1 00127 01150 U     U                A 1976043 
29-001852 O US MO EOLIA            39 15 53.94N 091 01 58.45W TOWER              1 00395 01294 D 4 E N 2017ACE07308OE C 2018149 
29-073068 O US MO EOLIA            39 15 57.04N 091 02 05.91W TOWER              1 00399 01286 D 1 A N 2018ACE05227OE A 2020055 
29-001317 O US MO CENTRALIA        39 15 59.00N 092 00 30.00W TOWER              1 00332 01152 M 2 C N 2003ACE01344OE C 2003236 
29-020596 O US MO LAKE WAUKOMIS    39 15 59.74N 094 35 25.77W POLE               1 00154 01154 N 1 A N 2010ACE02336OE A 2012038 
29-025211 O US MO MEXICO           39 16 08.78N 091 48 52.13W TOWER              1 00265 01042 D 2 C N 2016ACE03036OE A 2016355 
29-024152 O US MO KANSAS CITY      39 16 20.04N 094 42 42.19W POLE               1 00049 01033 U 1 A U                A 2014086 
29-004126 O US MO KANSAS CITY      39 16 27.76N 094 34 39.22W TOWER              1 00160 01187 N 1 A N 2007ACE01651OE C 2008010 
29-001185 O US MO FARBER           39 16 28.00N 091 34 19.00W TOWER              1 00202 00969 R 5 D N 1984ACE00929OE C 2014138 
29-083428 O US MO KANSAS CITY      39 16 31.14N 094 39 59.05W BLDG               1 00110 01143 N 1 A N 2022ACE00229OE A 2023131 
29-020079 O US MO ARMSTRONG        39 16 39.30N 092 41 47.36W TOWER              1 00260 01109 D 2 C N 2008ACE00247OE C 2008347 
29-051084 O US MO CLARK            39 16 42.00N 092 20 29.95W TOWER              1 00190 01058 N 2 C N 2022ACE03614OE C 2023192 
29-024153 O US MO KANSAS CITY      39 16 43.59N 094 42 35.24W NAVAID             1 00007 01019 U 1 A U                A 2014086 
29-024154 O US MO KANSAS CITY      39 16 43.62N 094 42 38.55W NAVAID             1 00019 01021 U 1 A U                A 2014086 
29-001118 O US MO KANSAS CITY      39 16 45.00N 094 40 19.84W BLDG               1 00152 01200 R 1 A M 2000ACE01441OE C 2007147 
29-001249 O US MO MIAMI            39 16 47.39N 093 13 43.74W TOWER              1 00420 01202 D 1 A N 2017ACE01122OE C 2017313 
29-088934 U US MO LIBERTY          39 16 55.04N 094 28 27.36W TOWER              1 00160 01111 N 4 D N 2021ACE11505OE A 2023208 
29-024155 O US MO KANSAS CITY      39 16 55.13N 094 43 57.38W POLE               1 00055 01082 U 1 A U                A 2014086 
29-024156 O US MO KANSAS CITY      39 17 03.20N 094 42 24.22W TOWER              1 00047 01058 U 1 A U                A 2014086 
29-025080 U US MO FERRELVIEW       39 17 03.23N 094 40 56.07W BLDG               1 00045 01077 N 4 D N 2013ACE02257OE A 2016250 
29-081404 U US MO LIBERTY          39 17 03.43N 094 28 39.42W T-L TWR            1 00080 01016 N 4 D N 2021ACE02650OE A 2022119 
29-024157 O US MO KANSAS CITY      39 17 03.53N 094 42 32.64W POLE               1 00010 01020 U 1 A U                A 2014086 
29-024158 O US MO KANSAS CITY      39 17 04.72N 094 40 42.46W POLE               1 00055 01120 U 1 A U                A 2014086 
29-025048 O US MO ORRICK           39 17 05.72N 094 10 02.25W TOWER              1 00265 01163 D 1 A N 2015ACE00472OE A 2016183 
29-050844 U US MO KANSAS CITY      39 17 05.86N 094 40 20.82W BLDG               1 00042 01069 N 4 D N 2015ACE04338OE A 2018025 
29-050610 U US MO KANSAS CITY      39 17 06.55N 094 40 04.06W BLDG               1 00045 01076 N 4 D N 2014ACE00192OE A 2018024 
29-020887 O US MO KANSAS CITY      39 17 13.11N 094 33 33.14W TOWER              1 00170 01210 N 2 C N 2010ACE02712OE A 2012313 
29-024159 O US MO KANSAS CITY      39 17 14.20N 094 41 48.54W POLE               1 00010 01028 U 1 A U                A 2014086 
29-001238 O US MO PLATTE CITY      39 17 15.24N 094 47 47.28W TOWER              1 00349 01223 D 2 C N 2014ACE03084OE C 2014344 
29-002054 O US MO LIBERTY          39 17 16.00N 094 30 49.00W TOWER              1 00200 01190 N 5 D N 1998ACE01031OE C 2014138 
29-024160 O US MO KANSAS CITY      39 17 18.68N 094 43 23.32W POLE               1 00019 01031 U 1 A U                A 2014086 
29-050448 U US MO KANSAS CITY      39 17 18.77N 094 40 03.71W T-L TWR            1 00079 01090 N 4 D N 2012ACE03192OE A 2018028 
29-050453 U US MO KANSAS CITY      39 17 20.56N 094 40 03.71W T-L TWR            1 00079 01090 N 4 D N 2012ACE03191OE A 2018028 
29-024161 O US MO KANSAS CITY      39 17 21.08N 094 43 22.95W TOWER              1 00033 01043 U 1 A U                A 2014086 
29-060758 U US MO EXCELSIOR SPRING 39 17 21.67N 094 12 53.66W T-L TWR            1 00063 00858 N 4 D N 2019ACE02786OE A 2019130 
29-060754 U US MO EXCELSIOR SPRING 39 17 21.76N 094 12 52.84W T-L TWR            1 00059 00854 N 4 D N 2019ACE02784OE A 2019130 
29-024176 O US MO KANSAS CITY      39 17 22.38N 094 41 10.20W POLE               1 00023 01056 U 1 A U                A 2014086 
29-020858 O US MO ORRICK           39 17 23.20N 094 06 30.60W TOWER              1 00180 01186 N 4 D N 2015ACE04131OE C 2017095 
29-050447 U US MO KANSAS CITY      39 17 23.20N 094 40 02.14W T-L TWR            1 00090 01101 N 4 D N 2012ACE03189OE A 2018027 
29-050395 U US MO KANSAS CITY      39 17 23.20N 094 40 03.61W T-L TWR            1 00095 01106 N 4 D N 2012ACE03190OE A 2018028 
29-024162 O US MO KANSAS CITY      39 17 23.80N 094 43 49.14W NAVAID             1 00007 01024 U 1 A U                A 2014086 
29-050394 U US MO KANSAS CITY      39 17 23.99N 094 40 03.61W T-L TWR            1 00095 01105 N 4 D N 2012ACE03187OE A 2018028 
29-050452 U US MO KANSAS CITY      39 17 23.99N 094 40 02.14W T-L TWR            1 00090 01099 N 4 D N 2012ACE03188OE A 2018027 
29-050446 U US MO KANSAS CITY      39 17 26.17N 094 40 03.70W T-L TWR            1 00084 01087 N 4 D N 2012ACE03186OE A 2018028 
29-024177 O US MO KANSAS CITY      39 17 27.77N 094 41 47.61W POLE               1 00068 01088 R 1 A U                A 2014086 
29-081405 U US MO LIBERTY          39 17 27.89N 094 29 09.95W T-L TWR            1 00075 01069 N 4 D N 2021ACE02651OE A 2022119 
29-050393 U US MO KANSAS CITY      39 17 27.97N 094 40 03.71W T-L TWR            1 00084 01082 N 4 D N 2012ACE03185OE A 2018028 
29-060749 U US MO EXCELSIOR SPRING 39 17 28.15N 094 12 53.94W T-L TWR            1 00065 00884 N 4 D N 2019ACE02787OE A 2019130 
29-000491 O US MO KANSAS CITY      39 17 29.00N 094 41 36.00W TOWER              1 00055 01075 L 2 C U 0069_KC00374OE C 2014138 
29-024178 O US MO KANSAS CITY      39 17 29.13N 094 42 03.55W POLE               1 00067 01082 R 1 A U                A 2014086 
29-060755 U US MO EXCELSIOR SPRING 39 17 29.22N 094 12 53.23W T-L TWR            1 00074 00890 N 4 D N 2019ACE02783OE A 2019130 
29-072186 O US MO VANDALIA         39 17 29.31N 091 29 22.87W TOWER              1 00316 01075 D 1 A N 2019ACE06202OE A 2019351 
29-000875 O US MO VANDALIA         39 17 30.14N 091 29 22.50W TOWER              1 00298 01056 D 3 C N 2014ACE02795OE C 2016337 
29-053817 O US MO VANDALIA         39 17 30.22N 091 30 00.13W TOWER              1 00310 01076 D 1 A N 2017ACE02322OE A 2017352 
29-000664 O US MO KANSAS CITY      39 17 31.00N 094 34 30.00W TOWER              1 00195 01256 U 4 D U 1975ACE00398OE C 2014124 
29-002491 O US MO CLARK            39 17 32.00N 092 22 24.00W TOWER              1 00259 01118 D 2 C N 2001ACE01045OE A 2001267 
29-081406 U US MO LIBERTY          39 17 32.64N 094 29 16.91W T-L TWR            1 00075 01084 N 4 D N 2021ACE02652OE A 2022119 
29-060751 U US MO EXCELSIOR SPRING 39 17 35.60N 094 12 54.33W T-L TWR            1 00070 00883 N 4 D N 2019ACE02788OE A 2019130 
29-025085 U US MO KANSAS CITY      39 17 36.32N 094 40 31.32W BLDG               1 00025 01035 N 4 D N 2010ACE03050OE A 2016251 
29-020504 O US MO EXCELSIOR SPRING 39 17 37.69N 094 15 41.00W TOWER              1 00188 00934 N 5 E N                A 2011193 
29-024163 O US MO KANSAS CITY      39 17 38.10N 094 42 10.94W FENCE              1 00008 01027 U 1 A U                A 2014086 
29-021189 O US MO PLATTE CITY      39 17 38.13N 094 46 29.05W POLE               1 00109 01036 N 1 A N 2011ACE02328OE A 2013254 
29-020505 O US MO EXCELSIOR SPRING 39 17 38.55N 094 15 38.15W TOWER              1 00188 00934 N 5 E N                A 2011193 
29-081407 U US MO LIBERTY          39 17 38.94N 094 29 26.13W T-L TWR            1 00075 01091 N 4 D N 2021ACE02653OE A 2022122 
29-020506 O US MO EXCELSIOR SPRING 39 17 39.45N 094 15 35.37W TOWER              1 00188 00934 N 5 E N                A 2011193 
29-060752 U US MO EXCELSIOR SPRING 39 17 40.10N 094 12 53.79W T-L TWR            1 00083 00922 N 4 D N 2019ACE02782OE A 2019130 
29-001716 O US MO KANSAS CITY      39 17 41.00N 094 41 15.00W TOWER              1 00162 01164 R 1 A M 1994ACE00596OE C 2014138 
29-024179 O US MO KANSAS CITY      39 17 41.34N 094 40 58.12W BLDG               1 00136 01161 U 1 A U                A 2014086 
29-060761 U US MO EXCELSIOR SPRING 39 17 42.12N 094 12 54.67W T-L TWR            1 00074 00911 N 4 D N 2019ACE02789OE A 2019133 
29-024174 O US MO KANSAS CITY      39 17 46.32N 094 41 58.81W BLDG               1 00098 01119 U 1 A U                A 2014086 
29-001901 O US MO LIBERTY          39 17 46.88N 094 24 44.99W TOWER              1 00210 01160 D 1 A N 2013ACE02018OE C 2013249 
29-002199 O US MO RICHMOND         39 17 47.00N 093 56 42.00W TOWER              1 00345 01107 D 2 C N 2003ACE01802OE C 2003272 
29-024164 O US MO KANSAS CITY      39 17 48.27N 094 43 47.13W TOWER              1 00037 01040 U 1 A U                A 2014086 
29-002362 O US MO BOWLING GREEN    39 17 49.00N 091 07 41.00W TOWER              1 00259 01104 D 1 A N 2003ACE00432OE C 2003229 
29-060762 U US MO EXCELSIOR SPRING 39 17 49.02N 094 12 55.01W T-L TWR            1 00052 00942 N 4 D N 2019ACE02790OE A 2019134 
29-060750 U US MO EXCELSIOR SPRING 39 17 49.84N 094 12 54.30W T-L TWR            1 00084 00975 N 4 D N 2019ACE02781OE A 2019129 
29-000411 O US MO KANSAS CITY      39 17 51.00N 094 42 55.00W CTRL TWR           1 00241 01233 L 1 A N 0067_KC00229OE C 2014138 
29-001236 O US MO KANSAS CITY      39 17 51.00N 094 43 47.00W TOWER              1 00066 01066 U 2 B U                C 2014138 
29-000099 O US MO HAMPTON          39 17 52.00N 094 12 42.00W TANK               1 00170 01185 U 9 I U                C 2014138 
29-000779 O US MO KANSAS CITY      39 17 52.32N 094 41 31.73W TANK               1 00185 01185 R 1 A M                C 2014086 
29-020912 O US MO KANSAS CITY      39 17 52.49N 094 27 55.90W TOWER              1 00155 01086 N 1 A N 2011ACE00473OE A 2012328 
