  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-024071 O US MO CARUTHERSVILLE   36 10 32.10N 089 40 29.38W POLE               1 00028 00296 U 2 C U                A 2014084 
29-076437 U US MO CARUTHERSVILLE   36 10 33.47N 089 41 31.69W POLE               1 00050 00339 N 4 D N 2019ACE08878OE A 2021083 
29-076435 U US MO CARUTHERSVILLE   36 10 34.19N 089 41 38.70W POLE               1 00050 00340 N 4 D N 2019ACE08877OE A 2021083 
29-076438 U US MO CARUTHERSVILLE   36 10 34.77N 089 41 34.10W POLE               1 00050 00340 N 4 D N 2019ACE08879OE A 2021083 
29-024063 O US MO CARUTHERSVILLE   36 10 34.90N 089 40 40.72W POLE               1 00033 00300 U 2 C U                A 2014084 
29-024060 O US MO CARUTHERSVILLE   36 10 34.91N 089 40 38.65W POLE               1 00029 00297 U 2 C U                A 2014084 
29-024069 O US MO CARUTHERSVILLE   36 10 34.97N 089 40 32.09W POLE               1 00033 00301 U 2 C U                A 2014084 
29-024068 O US MO CARUTHERSVILLE   36 10 34.98N 089 40 32.84W POLE               1 00034 00302 U 2 C U                A 2014084 
29-024070 O US MO CARUTHERSVILLE   36 10 35.20N 089 40 30.70W SIGN               1 00013 00280 U 2 C U                A 2014084 
29-076441 U US MO CARUTHERSVILLE   36 10 35.43N 089 41 41.01W POLE               1 00050 00339 N 4 D N 2019ACE08876OE A 2021083 
29-024062 O US MO CARUTHERSVILLE   36 10 36.30N 089 40 40.15W BLDG               1 00047 00314 U 2 C U                A 2014084 
29-024064 O US MO CARUTHERSVILLE   36 10 36.51N 089 40 31.14W BLDG               1 00027 00295 U 2 C U                A 2014084 
29-024067 O US MO CARUTHERSVILLE   36 10 36.63N 089 40 28.66W POLE               1 00031 00298 U 2 C U                A 2014084 
29-024061 O US MO CARUTHERSVILLE   36 10 37.02N 089 40 38.82W POLE               1 00023 00290 U 2 C U                A 2014084 
29-024065 O US MO CARUTHERSVILLE   36 10 37.24N 089 40 29.36W BLDG               1 00018 00286 U 2 C U                A 2014084 
29-024066 O US MO CARUTHERSVILLE   36 10 37.68N 089 40 28.63W POLE               1 00033 00301 U 2 C U                A 2014084 
29-076404 U US MO HAYTI  MO        36 10 39.56N 089 49 45.78W T-L TWR            1 00060 00325 N 4 D N 2019ACE04979OE A 2021077 
29-076440 U US MO CARUTHERSVILLE   36 10 44.81N 089 41 48.01W POLE               1 00050 00318 N 4 D N 2019ACE08872OE A 2021083 
29-076439 U US MO CARUTHERSVILLE   36 10 45.78N 089 41 46.53W POLE               1 00050 00318 N 4 D N 2019ACE08875OE A 2021083 
29-025256 U US MO CARURTHERSVILLE  36 10 56.00N 089 39 53.00W TOWER              1 00116 00410 N 4 D N 2011ACE02351OE A 2017044 
29-024930 O US MO CARUTHERSVILLE   36 10 59.91N 089 39 44.89W TOWER              1 00120 00390 N 5 D N 2014ACE04332OE A 2015338 
29-020692 O US MO CARUTHERSVILLE   36 11 00.00N 089 39 53.60W TOWER              1 00120 00389 N 5 D N 2010ACE01833OE A 2012074 
29-076403 U US MO HAYTI  MO        36 11 17.18N 089 49 46.01W T-L TWR            1 00056 00318 N 4 D N 2019ACE04978OE A 2021077 
29-020846 O US MO DEERING          36 11 20.40N 089 53 54.10W TOWER              1 00260 00520 R 5 D P 2010ACE02637OE A 2012284 
29-001240 O US MO HAYTI            36 11 23.00N 089 54 17.00W TOWER              1 00261 00516 R 5 D M 1985ACE00208OE C 2014138 
