  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
19-025296 O US IA FORT MADISON     40 39 26.76N 091 19 32.66W BLDG               1 00017 00740 U 1 A U                A 2013330 
19-025314 O US IA FORT MADISON     40 39 27.36N 091 19 29.59W POLE               1 00027 00747 U 1 A U                A 2013330 
19-026944 O US IA CENTERVILLE      40 39 28.19N 092 52 55.63W POLE               1 00063 01064 U 1 A U                A 2014024 
19-025297 O US IA FORT MADISON     40 39 28.27N 091 19 30.01W TOWER              1 00056 00775 U 1 A U                A 2013330 
19-025298 O US IA FORT MADISON     40 39 28.68N 091 19 33.81W BLDG               1 00026 00748 U 1 A U                A 2013330 
19-025315 O US IA FORT MADISON     40 39 29.98N 091 19 29.17W POLE               1 00035 00754 U 1 A U                A 2013330 
19-000684 O US IA FORT MADISON     40 39 30.00N 091 16 21.00W TOWER              1 00175 00865 N 5 D M                C 2014138 
19-025316 O US IA FORT MADISON     40 39 30.54N 091 19 34.51W POLE               1 00028 00752 U 1 A U                A 2013330 
19-025299 O US IA FORT MADISON     40 39 30.97N 091 19 31.37W BLDG               1 00027 00749 U 1 A U                A 2013330 
19-025330 O US IA FORT MADISON     40 39 31.25N 091 19 33.29W FENCE              1 00003 00726 U 1 A U                A 2013330 
19-025300 O US IA FORT MADISON     40 39 31.37N 091 19 29.75W FENCE              1 00005 00726 U 1 A U                A 2013330 
19-025317 O US IA FORT MADISON     40 39 31.61N 091 19 36.51W POLE               1 00024 00744 U 1 A U                A 2013330 
19-025301 O US IA FORT MADISON     40 39 35.97N 091 19 34.34W FENCE              1 00003 00727 U 1 A U                A 2013330 
19-025302 O US IA FORT MADISON     40 39 38.11N 091 19 34.99W FENCE              1 00002 00725 U 1 A U                A 2013330 
19-025303 O US IA FORT MADISON     40 39 39.84N 091 19 35.53W FENCE              1 00001 00723 U 1 A U                A 2013330 
19-059823 O US IA BEDFORD          40 39 40.67N 094 48 10.94W WINDMILL           1 00499 01702 W 4 D W 2019WTE08909OE A 2020164 
19-025318 O US IA FORT MADISON     40 39 41.39N 091 19 36.16W TOWER              1 00036 00757 U 1 A U                A 2013330 
19-025304 O US IA FORT MADISON     40 39 43.01N 091 19 36.48W FENCE              1 00003 00722 U 1 A U                A 2013330 
19-025305 O US IA FORT MADISON     40 39 44.54N 091 19 36.95W FENCE              1 00002 00719 U 1 A U                A 2013330 
19-053979 U US IA MOULTON          40 39 45.29N 092 37 54.29W MET                1 00200 01168 N 4 D S 2018WTE05479OE A 2018298 
19-025306 O US IA FORT MADISON     40 39 45.76N 091 19 37.33W FENCE              1 00002 00718 U 1 A U                A 2013330 
19-025319 O US IA FORT MADISON     40 39 46.69N 091 19 47.48W POLE               1 00009 00725 U 1 A U                A 2013330 
19-025307 O US IA FORT MADISON     40 39 47.24N 091 19 37.79W FENCE              1 00002 00716 U 1 A U                A 2013330 
19-025308 O US IA FORT MADISON     40 39 49.01N 091 19 32.05W FENCE              1 00003 00716 U 1 A U                A 2013330 
19-025309 O US IA FORT MADISON     40 39 49.02N 091 19 33.78W FENCE              1 00002 00717 U 1 A U                A 2013330 
19-020077 U US IA MILTON           40 39 52.31N 092 08 04.05W TOWER              1 00310 01109 D 4 D N 2007ACE00256OE C 2014124 
19-059822 O US IA BEDFORD          40 39 53.75N 094 47 54.36W WINDMILL           1 00499 01701 W 4 D W 2019WTE08908OE A 2020164 
19-060076 O US IA BEDFORD          40 39 55.02N 094 49 29.37W WINDMILL           1 00499 01702 W 4 D W 2019WTE08902OE A 2020225 
19-021039 U US IA DENMARK          40 39 55.29N 091 10 59.53W TOWER              1 00260 00776 D 4 D N 2008ACE03489OE C 2014124 
19-025320 O US IA FORT MADISON     40 39 55.41N 091 19 30.78W POLE               1 00035 00743 U 1 A U                A 2013330 
19-000246 O US IA BEDFORD          40 39 56.00N 094 43 21.00W TOWER              1 00219 01328 R 4 D M                C 2014138 
19-006004 U US IA PERCIVAL         40 40 00.00N 095 47 01.00W TOWER              1 00105 01034 U     U                A 1976072 
19-060260 O US IA BEDFORD          40 40 00.03N 094 52 16.12W WINDMILL           1 00499 01702 W 4 D W 2019WTE08896OE A 2020281 
19-025321 O US IA FORT MADISON     40 40 01.43N 091 19 33.97W POLE               1 00034 00741 U 1 A U                A 2013330 
