  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-027634 O US IL METROPOLIS       37 11 10.22N 088 44 55.64W POLE               1 00032 00413 U 1 A U                A 2014014 
17-075550 O US IL OLMSTED          37 11 16.02N 089 05 08.93W TOWER              1 00275 00621 D 1 A N 2019AGL00233OE A 2020294 
17-027636 O US IL METROPOLIS       37 11 18.44N 088 45 01.15W NAVAID             1 00004 00384 U 1 A U                A 2014014 
17-027635 O US IL METROPOLIS       37 11 18.46N 088 45 03.07W NAVAID             1 00003 00383 U 1 A U                A 2014014 
17-027637 O US IL METROPOLIS       37 11 20.84N 088 44 49.03W POLE               1 00027 00400 U 1 A U                A 2014014 
17-027638 O US IL METROPOLIS       37 11 24.93N 088 45 11.82W BLDG               1 00021 00402 U 1 A U                A 2014014 
17-002235 O US IL VILLA RIDGE      37 11 27.42N 089 09 49.94W TOWER              1 00310 00768 R 2 C P 2008AGL04530OE C 2013193 
17-022680 O US IL VILLA RIDGE      37 11 27.69N 089 09 56.82W TOWER              1 00260 00713 D 1 A N 2013AGL00816OE A 2013192 
17-027639 O US IL METROPOLIS       37 11 28.57N 088 45 13.73W POLE               1 00039 00420 U 1 A U                A 2014014 
17-027640 O US IL METROPOLIS       37 11 28.68N 088 45 09.88W POLE               1 00031 00411 U 1 A U                A 2014014 
17-027641 O US IL METROPOLIS       37 11 28.84N 088 45 02.55W POLE               1 00033 00413 U 1 A U                A 2014014 
17-027642 O US IL METROPOLIS       37 11 28.96N 088 44 59.22W POLE               1 00031 00411 U 1 A U                A 2014014 
17-027643 O US IL METROPOLIS       37 11 29.06N 088 44 55.99W POLE               1 00032 00410 U 1 A U                A 2014014 
17-027644 O US IL METROPOLIS       37 11 29.17N 088 44 46.37W POLE               1 00047 00419 U 1 A U                A 2014014 
17-027645 O US IL METROPOLIS       37 11 29.26N 088 44 49.59W POLE               1 00065 00438 U 1 A U                A 2014014 
17-027646 O US IL METROPOLIS       37 11 29.29N 088 44 52.74W POLE               1 00050 00425 U 1 A U                A 2014014 
17-074785 O US IL METROPOLIS       37 11 30.48N 088 42 26.24W TOWER              1 00154 00499 N 1 A N 2019AGL07002OE A 2020127 
17-031449 U US IL METROPOLIS       37 11 47.68N 088 44 15.60W TOWER              1 00066 00436 N 4 D N 2015AGL15485OE A 2017125 
17-027669 O US IL METROPOLIS       37 11 53.92N 088 45 28.59W POLE               1 00046 00450 U 1 A U                A 2014014 
