  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
04-021751 O US AZ NOGALES          31 25 31.78N 110 50 14.89W FENCE              1 00006 03969 U 1 A U                A 2013158 
04-021753 O US AZ NOGALES          31 25 32.35N 110 50 14.20W FENCE              1 00005 03970 U 1 A U                A 2013158 
04-021755 O US AZ NOGALES          31 25 32.67N 110 50 13.77W FENCE              1 00005 03972 U 1 A U                A 2013158 
04-021757 O US AZ NOGALES          31 25 33.73N 110 50 12.41W FENCE              1 00006 03977 U 1 A U                A 2013158 
04-021749 O US AZ NOGALES          31 25 34.24N 110 50 20.35W FENCE              1 00007 03975 U 1 A U                A 2013158 
04-021759 O US AZ NOGALES          31 25 34.47N 110 50 13.23W FENCE              1 00005 03982 U 1 A U                A 2013158 
04-021752 O US AZ NOGALES          31 25 35.03N 110 50 18.43W FENCE              1 00007 03980 U 1 A U                A 2013158 
04-021761 O US AZ NOGALES          31 25 35.44N 110 50 14.29W FENCE              1 00005 03985 U 1 A U                A 2013158 
04-021754 O US AZ NOGALES          31 25 35.63N 110 50 17.71W FENCE              1 00007 03983 U 1 A U                A 2013158 
04-021760 O US AZ NOGALES          31 25 36.24N 110 50 15.20W FENCE              1 00006 03989 U 1 A U                A 2013158 
04-021756 O US AZ NOGALES          31 25 36.51N 110 50 16.66W FENCE              1 00004 03988 U 1 A U                A 2013158 
04-021758 O US AZ NOGALES          31 25 37.00N 110 50 16.06W FENCE              1 00006 03991 U 1 A U                A 2013158 
04-020713 O US AZ DOUGLAS-BISBEE   31 25 41.10N 109 36 22.48W FENCE              1 00004 04022 U 1 B U                A 2013157 
04-021690 O US AZ NOGALES          31 25 46.53N 110 50 13.01W POLE               1 00021 04043 U 1 A U                A 2013158 
04-021689 O US AZ NOGALES          31 25 52.61N 110 50 08.56W POLE               1 00018 04068 U 1 A U                A 2013158 
04-000391 O US AZ NOGALES          31 26 38.35N 110 49 34.94W POLE               1 00016 04221 U 1 B U                C 2011067 
04-000389 O US AZ NOGALES          31 26 39.12N 110 51 20.89W POLE               1 00028 04110 U 1 B U                C 2011067 
04-000605 O US AZ WARREN           31 26 41.00N 109 49 48.00W TOWER              1 00265 04863 D 5 E N 2000AWP02631OE C 2014152 
04-000752 U US AZ RIO RICO         31 26 42.70N 110 57 53.90W POLE               1 00100 03574 R 4 D N 2006AWP07222OE C 2014124 
04-021687 O US AZ NOGALES          31 26 43.86N 110 50 13.73W TANK               1 00016 04107 U 1 A U                A 2013158 
04-021763 O US AZ NOGALES          31 26 44.69N 110 50 12.48W POLE               1 00038 04132 U 1 B U                A 2013158 
04-021688 O US AZ NOGALES          31 26 45.81N 110 50 13.99W POLE               1 00044 04135 U 1 A U                A 2013158 
04-021776 O US AZ NOGALES          31 26 47.63N 110 47 31.19W BLDG               1 00018 04460 U 1 B U                A 2013158 
04-021764 O US AZ NOGALES          31 26 52.84N 110 50 21.53W POLE               1 00036 04133 U 1 B U                A 2013158 
04-020712 O US AZ DOUGLAS-BISBEE   31 26 56.38N 109 36 06.65W POLE               1 00029 04098 U 1 A U                A 2013157 
04-021766 O US AZ NOGALES          31 26 58.57N 110 50 18.29W POLE               1 00037 04141 U 1 B U                A 2013158 
04-020711 O US AZ DOUGLAS-BISBEE   31 27 00.24N 109 36 17.09W POLE               1 00028 04099 U 1 A U                A 2013157 
04-021767 O US AZ NOGALES          31 27 02.87N 110 50 55.22W WINDMILL           1 00029 04132 U 1 B U                A 2013158 
04-000390 O US AZ NOGALES          31 27 05.09N 110 50 12.15W POLE               1 00041 04166 U 1 B U                C 2013158 
04-021768 O US AZ NOGALES          31 27 08.57N 110 50 09.65W TOWER              1 00035 04165 U 1 B U                A 2013158 
04-020710 O US AZ DOUGLAS-BISBEE   31 27 10.41N 109 36 27.61W POLE               1 00033 04108 U 1 B U                A 2013157 
04-020709 O US AZ DOUGLAS-BISBEE   31 27 17.73N 109 36 28.46W POLE               1 00030 04110 U 1 A U                A 2013157 
04-021773 O US AZ NOGALES          31 27 18.17N 110 50 02.73W POLE               1 00033 04162 U 1 B U                A 2013158 
04-021769 O US AZ NOGALES          31 27 18.40N 110 50 37.19W POLE               1 00020 04163 U 1 B U                A 2013158 
04-020708 O US AZ DOUGLAS-BISBEE   31 27 18.99N 109 36 03.09W POLE               1 00030 04122 R 1 B U                A 2013157 
04-021770 O US AZ NOGALES          31 27 20.15N 110 50 52.79W POLE               1 00026 04196 U 1 B U                A 2013158 
04-021771 O US AZ NOGALES          31 27 20.18N 110 50 59.26W POLE               1 00033 04199 U 1 B U                A 2013158 
04-020698 O US AZ DOUGLAS-BISBEE   31 27 20.48N 109 36 19.41W SIGN               1 00004 04091 U 1 A U                A 2013157 
