  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
34-062586 U US NJ MIDDLE TOWNSHIP  39 04 11.97N 074 44 51.27W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08603OE A 2018030 
34-062590 U US NJ MIDDLE TOWNSHIP  39 04 12.94N 074 44 50.45W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08604OE A 2018030 
34-062588 U US NJ MIDDLE TOWNSHIP  39 04 13.70N 074 44 49.82W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08605OE A 2018030 
34-062523 U US NJ MIDDLE TOWNSHIP  39 04 14.07N 074 47 26.97W T-L TWR            1 00084 00088 N 4 D N 2017AEA08628OE C 2018074 
34-062591 U US NJ MIDDLE TOWNSHIP  39 04 15.19N 074 44 48.56W UTILITY POLE       1 00070 00074 N 4 D N 2017AEA08606OE A 2018030 
34-062522 U US NJ MIDDLE TOWNSHIP  39 04 16.12N 074 47 30.16W UTILITY POLE       1 00078 00083 N 4 D N 2017AEA08505OE C 2018030 
34-062589 U US NJ MIDDLE TOWNSHIP  39 04 16.58N 074 44 47.38W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08607OE A 2018030 
34-062521 U US NJ MIDDLE TOWNSHIP  39 04 17.26N 074 47 32.22W UTILITY POLE       1 00078 00083 N 4 D N 2017AEA08504OE C 2018030 
34-062595 U US NJ MIDDLE TOWNSHIP  39 04 17.39N 074 44 46.71W UTILITY POLE       1 00071 00075 N 4 D N 2017AEA08608OE A 2018030 
34-062607 U US NJ MIDDLE TOWNSHIP  39 04 18.30N 074 44 45.93W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08609OE A 2018030 
34-062520 U US NJ MIDDLE TOWNSHIP  39 04 19.41N 074 47 35.75W UTILITY POLE       1 00083 00089 N 4 D N 2017AEA08503OE C 2018030 
34-062594 U US NJ MIDDLE TOWNSHIP  39 04 19.74N 074 44 44.73W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08610OE A 2018030 
34-062593 U US NJ MIDDLE TOWNSHIP  39 04 21.24N 074 44 43.46W UTILITY POLE       1 00070 00075 N 4 D N 2017AEA08611OE A 2018030 
34-062519 U US NJ MIDDLE TOWNSHIP  39 04 21.55N 074 47 39.28W UTILITY POLE       1 00078 00085 N 4 D N 2017AEA08502OE C 2018030 
