  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
23-063399 U US ME SANFORD          43 24 34.96N 070 42 39.86W T-L TWR            1 00052 00287 N 4 D N 2020ANE04985OE A 2020296 
23-063406 U US ME SANFORD          43 24 36.85N 070 42 40.48W T-L TWR            1 00052 00286 N 4 D N 2020ANE04984OE A 2020296 
23-048158 U US ME SANFORD          43 24 37.74N 070 44 22.27W UTILITY POLE       1 00039 00328 N 4 D N 2016ANE03931OE A 2018028 
23-048159 U US ME SANFORD          43 24 37.74N 070 44 23.14W UTILITY POLE       1 00039 00325 N 4 D N 2016ANE03932OE A 2018028 
23-048160 U US ME SANFORD          43 24 38.00N 070 44 23.12W UTILITY POLE       1 00039 00324 N 4 D N 2016ANE03933OE A 2018028 
23-048161 U US ME SANFORD          43 24 38.00N 070 44 21.78W UTILITY POLE       1 00039 00324 N 4 D N 2016ANE03934OE A 2018028 
23-063404 U US ME SANFORD          43 24 38.63N 070 42 41.03W T-L TWR            1 00057 00288 N 4 D N 2020ANE04983OE A 2020293 
23-063409 U US ME SANFORD          43 24 40.29N 070 42 41.55W T-L TWR            1 00061 00294 N 4 D N 2020ANE04982OE A 2020296 
23-063400 U US ME SANFORD          43 24 41.84N 070 42 42.04W T-L TWR            1 00079 00313 N 4 D N 2020ANE04981OE A 2020297 
23-063416 U US ME SANFORD          43 24 44.11N 070 42 40.63W T-L TWR            1 00079 00312 N 4 D N 2020ANE04980OE A 2020293 
23-063426 U US ME SANFORD          43 24 44.89N 070 42 30.21W T-L TWR            1 00087 00313 N 4 D N 2020ANE04998OE A 2020296 
23-063425 U US ME SANFORD          43 24 45.59N 070 42 30.04W T-L TWR            1 00080 00306 N 4 D N 2020ANE04997OE A 2020296 
23-063434 U US ME SANFORD          43 24 46.28N 070 42 35.95W T-L TWR            1 00070 00302 N 4 D N 2019ANE02576OE A 2021028 
23-063435 U US ME SANFORD          43 24 46.67N 070 42 34.52W T-L TWR            1 00061 00290 N 4 D N 2019ANE02577OE A 2021034 
23-063012 U US ME SANFORD          43 24 47.11N 070 42 26.02W T-L TWR            1 00080 00299 N 4 D N 2019ANE02573OE A 2020323 
23-063439 U US ME SANFORD          43 24 47.26N 070 42 32.66W T-L TWR            1 00066 00291 N 4 D N 2019ANE02581OE A 2021035 
23-063440 U US ME SANFORD          43 24 47.50N 070 42 32.16W T-L TWR            1 00066 00290 N 4 D N 2019ANE02582OE A 2021035 
23-063436 U US ME SANFORD          43 24 47.59N 070 42 33.91W UTILITY POLE       1 00065 00292 N 4 D N 2019ANE02578OE A 2021034 
23-063011 U US ME SANFORD          43 24 47.67N 070 42 26.11W T-L TWR            1 00080 00299 N 4 D N 2019ANE02572OE A 2020321 
23-063441 U US ME SANFORD          43 24 47.75N 070 42 31.67W T-L TWR            1 00066 00290 N 4 D N 2019ANE02583OE A 2021035 
23-063437 U US ME SANFORD          43 24 48.40N 070 42 33.84W UTILITY POLE       1 00065 00292 N 4 D N 2019ANE02579OE A 2021034 
23-063438 U US ME SANFORD          43 24 48.75N 070 42 32.61W UTILITY POLE       1 00065 00288 N 4 D N 2019ANE02580OE A 2021034 
23-063014 U US ME SANFORD          43 24 49.32N 070 42 21.83W T-L TWR            1 00080 00298 N 4 D N 2019ANE02575OE A 2020323 
23-063013 U US ME SANFORD          43 24 49.69N 070 42 22.29W T-L TWR            1 00080 00298 N 4 D N 2019ANE02574OE A 2020323 
23-063407 U US ME SANFORD          43 24 51.73N 070 42 49.18W UTILITY POLE       1 00047 00273 N 4 D N 2021ANE05837OE C 2022063 
23-063413 U US ME SANFORD          43 24 53.19N 070 42 50.31W UTILITY POLE       1 00043 00282 N 4 D N 2021ANE05836OE C 2022063 
23-063403 U US ME SANFORD          43 24 55.44N 070 42 52.05W UTILITY POLE       1 00043 00287 N 4 D N 2021ANE05835OE C 2022063 
23-063415 U US ME SANFORD          43 24 57.48N 070 42 53.69W UTILITY POLE       1 00048 00289 N 4 D N 2020ANE04976OE A 2020290 
23-063397 U US ME SANFORD          43 24 59.78N 070 42 55.41W UTILITY POLE       1 00047 00289 N 4 D N 2021ANE05834OE C 2022063 
23-000093 O US ME SANFORD          43 25 00.30N 070 48 15.20W TOWER              1 00536 01166 R 4 D P 2018ANE00708OE C 2018239 
23-063408 U US ME SANFORD          43 25 01.33N 070 42 58.67W UTILITY POLE       1 00044 00295 N 4 D N 2021ANE05833OE C 2022063 
23-063398 U US ME SANFORD          43 25 02.89N 070 43 01.91W UTILITY POLE       1 00047 00294 N 4 D N 2021ANE05832OE C 2022063 
23-000486 O US ME ARUNDEL          43 25 03.05N 070 30 47.48W TOWER              1 00208 00321 D 4 D N 2018ANE03699OE C 2018256 
23-048431 U US ME SANFORD          43 25 05.00N 070 44 49.00W POLE               1 00080 00325 N 4 D N 2016ANE03707OE A 2018319 
23-000333 O US ME SANFORD          43 25 05.00N 070 48 02.00W TOWER              1 00400 01084 R 5 E M 1999ANE00269OE C 2014152 
23-048430 U US ME SANFORD          43 25 06.00N 070 44 45.00W POLE               1 00080 00325 N 4 D N 2016ANE03706OE A 2018319 
23-063410 U US ME SANFORD          43 25 06.77N 070 43 01.93W T-L TWR            1 00051 00300 N 4 D N 2021ANE05831OE C 2022063 
