  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
55-001539 O US WI TWIN LAKES       42 31 41.69N 088 16 07.49W TOWER              1 00255 01097 M 5 D N 2012AGL05192OE C 2012235 
55-084006 U US WI BELOIT           42 31 42.43N 089 05 08.68W T-L TWR            1 00066 00916 N 4 D N 2013AGL11110OE A 2018027 
55-000224 O US WI EAST DUBUQUE     42 31 43.00N 090 36 56.00W TOWER              1 00432 01339 N 5 D N 2003AGL04317OE C 2005135 
55-001762 O US WI JAMESTOWN        42 31 43.60N 090 36 58.50W TOWER              1 00978 01878 R 5 E P 2014AGL03430OE C 2014279 
55-082532 U US WI PLEASANT PRAIRIE 42 31 44.40N 087 53 51.20W T-L TWR            1 00126 00820 N 4 D N 2012AGL06680OE A 2018027 
55-084039 U US WI BELOIT           42 31 45.87N 089 05 08.68W T-L TWR            1 00070 00918 N 4 D N 2013AGL11109OE A 2018027 
55-092753 O US WI HAZEL GREEN      42 31 48.18N 090 24 26.68W TOWER              1 00305 01172 D 1 A N 2019AGL07004OE A 2020132 
55-084068 U US WI BELOIT           42 31 48.89N 089 05 08.69W T-L TWR            1 00061 00921 N 4 D N 2013AGL11108OE A 2018027 
55-092773 O US WI JUDA             42 31 49.09N 089 25 51.34W TOWER              1 00255 01208 D 1 A N 2019AGL07727OE A 2020142 
55-023076 O US WI NEW DIGGINGS     42 31 50.14N 090 20 20.80W TOWER              1 00255 01191 D 1 A N 2012AGL09890OE A 2013162 
55-082570 U US WI PLEASANT PRAIRIE 42 31 51.10N 087 53 51.60W T-L TWR            1 00123 00818 N 4 D N 2012AGL06679OE A 2018027 
55-084005 U US WI BELOIT           42 31 51.87N 089 05 08.66W T-L TWR            1 00066 00913 N 4 D N 2013AGL11107OE A 2018027 
55-001733 U US WI BELOIT           42 31 55.00N 089 04 18.00W TOWER              1 00153 01062 N 4 D N 2002AGL03761OE C 2014124 
55-084038 U US WI BELOIT           42 31 55.32N 089 05 08.62W T-L TWR            1 00079 00904 N 4 D N 2013AGL11106OE A 2018027 
55-023075 O US WI HAZEL GREEN      42 31 55.37N 090 33 09.61W TOWER              1 00255 01199 D 1 A N 2012AGL10550OE A 2013162 
55-082569 U US WI PLEASANT PRAIRIE 42 31 57.90N 087 53 51.60W T-L TWR            1 00120 00815 N 4 D N 2012AGL06678OE A 2018027 
55-092826 O US WI BELOIT           42 31 58.79N 089 13 33.28W TOWER              1 00305 01153 D 1 A N 2019AGL10713OE A 2020168 
55-084307 U US WI BELOIT           42 31 59.06N 089 06 09.70W T-L TWR            1 00062 00916 N 4 D N 2014AGL03858OE A 2018027 
55-081758 O US WI BELOIT           42 32 00.15N 088 57 50.36W TOWER              1 00195 01056 N 4 D N 2022AGL01563OE C 2022292 
55-082492 U US WI PLEASANT PRAIRIE 42 32 03.50N 087 53 51.10W T-L TWR            1 00131 00822 N 4 D N 2012AGL06676OE A 2018027 
55-085049 U US WI KENOSHA          42 32 07.37N 087 52 27.14W T-L TWR            1 00071 00791 N 4 D N 2015AGL05787OE A 2018027 
55-082491 U US WI PLEASANT PRAIRIE 42 32 09.30N 087 53 51.30W T-L TWR            1 00141 00834 N 4 D N 2012AGL06675OE A 2018027 
55-082490 U US WI PLEASANT PRAIRIE 42 32 10.30N 087 54 15.00W T-L TWR            1 00157 00843 N 4 D N 2012AGL06669OE A 2018027 
55-082801 U US WI KENOSHA          42 32 10.34N 087 54 33.80W T-L TWR            1 00130 00814 N 4 D N 2012AGL08043OE A 2018027 
55-082519 U US WI PLEASANT PRAIRIE 42 32 10.50N 087 54 30.10W T-L TWR            1 00155 00841 N 4 D N 2012AGL06667OE A 2018027 
55-082568 U US WI PLEASANT PRAIRIE 42 32 11.10N 087 54 02.50W T-L TWR            1 00160 00845 N 4 D N 2012AGL06672OE A 2018027 
55-090193 O US WI SHULLSBURG       42 32 11.87N 090 06 22.77W TOWER              1 00305 01339 D 1 A N 2018AGL23442OE A 2019284 
55-082611 U US WI PLEASANT PRAIRIE 42 32 11.90N 087 53 51.70W T-L TWR            1 00098 00789 N 4 D N 2012AGL06756OE A 2018027 
55-083691 U US WI BELOIT           42 32 12.20N 089 06 42.97W T-L TWR            1 00072 00883 N 4 D N 2013AGL03940OE A 2018027 
55-083764 U US WI BELOIT           42 32 12.20N 089 06 37.95W T-L TWR            1 00086 00905 N 4 D N 2013AGL03941OE A 2018028 
